run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
armor__atk=label_flip__mal=0.4__alpha=None,0.5466652536385475,0.6140017366298461,0.5290156492864209,0.5527528526617952,0.23309306815989503,25,,0.0,0.0,armor,label_flip,0.4,None,0.01764960435212659
fedavg__atk=alie__mal=0.2__alpha=0.5,0.8043485940370213,0.7191529980541664,0.8238947470679667,0.7480891181335145,0.053574035960585395,25,,0.0,0.0,fedavg,alie,0.2,0.5,0.019546153030945423
fedavg__atk=alie__mal=0.2__alpha=None,0.9039317507418397,0.8911820420871956,0.8354087183834957,0.7832114056932249,0.05190564830470011,25,,0.0,0.0,fedavg,alie,0.2,None,0.068523032358344
fedavg__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030305037445246,0.7153290531519354,6.425582967205358e-05,25,,0.0,0.0,fedavg,alie,0.4,0.5,2.4286420799768393e-05
fedavg__atk=alie__mal=0.4__alpha=None,0.652324431256182,0.6401651999661464,0.7099649392397909,0.6955104363648882,0.13266980040348797,25,,0.0,0.0,fedavg,alie,0.4,None,0.05764050798360887
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,0.5,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,None,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,0.5,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,None,0.0
fedavg__atk=label_flip__mal=0.2__alpha=0.5,0.7994383213225943,0.7819057670606406,0.40175701215204185,0.3801839115901501,0.3118310103549037,25,,0.0,0.0,fedavg,label_flip,0.2,0.5,0.39768130917055244
fedavg__atk=label_flip__mal=0.2__alpha=None,0.8249611417267204,0.766755134393415,0.652196375582874,0.6776883405938958,0.14527661951398535,25,,0.0,0.0,fedavg,label_flip,0.2,None,0.1727647661438464
fedavg__atk=label_flip__mal=0.4__alpha=0.5,0.48511021619330225,0.5627606222443383,0.5900341776176345,0.5810509091958593,0.29410477211608527,25,,0.0,0.0,fedavg,label_flip,0.4,0.5,0.1049239614243323
fedavg__atk=label_flip__mal=0.4__alpha=None,0.23270806839056096,0.2976466380387031,0.6951435989826198,0.7016435892856862,0.2302563789040059,25,,0.0,0.0,fedavg,label_flip,0.4,None,0.46243553059205883
foolsgold__atk=alie__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,alie,0.2,0.5,0.0
foolsgold__atk=alie__mal=0.2__alpha=None,0.7556344496255476,0.768467797899525,0.5924871061184117,0.610218191484417,0.14675352083760876,25,,0.0,0.0,foolsgold,alie,0.2,None,0.1631473435071359
foolsgold__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.805788116433517,0.7342199590313265,0.034581187301603374,25,,0.0,0.0,foolsgold,alie,0.4,0.5,0.0027818991097922074
foolsgold__atk=alie__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.7957489932174651,0.7353841722887722,0.06099652384951131,25,,0.0,0.0,foolsgold,alie,0.4,None,0.00725722410625973
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,0.5,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,None,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,0.5,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,None,0.0
